"","id","nome","rua","bairro","atividade","datum","utm_e","utm_n","ano","classif","reutiliza","etapa_gere","etapa_ge_1","fonte_cont","meios_impa","contaminan","med_emerge","med_instit","med_remedi","med_engenh","data_inser","usuario"
"253",108,"AUTO POSTO CASCATA LTDA","AV. BUENO DE MIRANDA 489","VILA INDUSTRIAL - CAMPINAS","Posto de Combustível","WGS84",286734.52,7465550.96,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|existência de fase livre",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/25 16:54:29.652","1008188"
"254",6,"AUTO POSTO JARDIM EULINA LTDA","AV. PAPA JOÃO XXIII 535","JARDIM EULINA - CAMPINAS","Posto de Combustível","WGS84",284035.06,7466975.86,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:27:09.933","1008188"
"255",5,"AUTO POSTO ESKINÃO LTDA","AVENIDA MORAES SALES 940","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289168.59,7465364.52,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos","fechamento/interdição de poços de abastecimento","uso água subterrânea#comunicada#","bombeamento e tratamento",NA,"2013/11/26 14:23:22.616","1008188"
"256",7,"AUTO POSTO JP LTDA","RUA BENJAMIM CONSTANT 1335","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288827.65,7465903.83,"2013","Em processo de remediação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,"bombeamento e tratamento|extração multifásica|biorremediação",NA,"2013/11/26 14:29:02.378","1008188"
"257",100,"AUTO POSTO PROENÇA","RUA FREI JOSÉ DE MONTE CARMELO 237","JARDIM PROENÇA - CAMPINAS","Posto de Combustível","WGS84",289849.89,7464365.85,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos","monitoramento ambiental|fechamento/interdição de poços de abastecimento","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:54:55.680","1008188"
"258",18,"AUTO POSTO RUBIMAR LTDA","AV. RUY RODRIGUES 4570","PARQUE UNIVERSITARIO - CAMPINAS","Posto de Combustível","SAD69",280361.78,7458540.13,"2013","Contaminada com risco confirmado","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:58:32.399","1008188"
"259",20,"AUTO POSTO STOP LTDA","AV. FRANCISCO GLICÉRIO 735","CENTRO - CAMPINAS","Posto de Combustível","WGS84",288885.98,7465176.54,"2013","Contaminada sob investigação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","solo superficial#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,NA,NA,"2013/11/26 15:07:37.863","1008188"
"260",115,"DIGIGÁS COMÉRCIO DE GÁS LTDA","RUA DARIO FREIRE MEIRELLES 861","AMARAIS - CAMPINAS","Posto de Combustível","SAD69",283761.66,7470767.18,"2013","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:50:07.470","1008188"
"261",8,"AUTO POSTO LM DE CAMPINAS LTDA","RODOVIA DOM PEDRO I S/N SP 065 - KM 140,9","CEASA - CAMPINAS","Posto de Combustível","SAD69",284703.66,7471865.19,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre",NA,NA,"extração multifásica",NA,"2013/11/26 14:34:02.120","1008188"
"262",14,"AUTO POSTO M.A.M.P LTDA","AVENIDA SENADOR SARAIVA 957","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288169.26,7465734.39,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos",NA,NA,NA,NA,"2013/11/26 14:35:52.521","1008188"
"263",16,"AUTO POSTO MARIA MONTEIRO LTDA","RUA MARIA MONTEIRO 1158","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",289447.61,7466736.43,"2013","Contaminada com risco confirmado","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","águas subterrâneas#dentro#","solventes aromáticos","monitoramento ambiental",NA,NA,NA,"2013/11/26 14:37:27.593","1008188"
"264",101,"BODYCONTE BRASIMET PROCESSAMENTO TÉRMICO SA","RUA PEDRO GIANGRANCISCO 200","BOA VISTA - CAMPINAS","Indústria","WGS84",283134.12,7466966.16,"2013","Contaminada com risco confirmado","N",NA,"avaliação preliminar|investigação confirmatória","produção","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","outros inorgânicos|solventes halogenados|solventes aromáticos","monitoramento ambiental",NA,NA,NA,"2013/11/26 15:16:39.436","1008188"
"265",19,"AUTO POSTO SANTA LETICIA LTDA","AVENIDA RUY RODRIGUES 3380","CHACARA SANTA LETICIA - CAMPINAS","Posto de Combustível","WGS84",281260.96,7458943.6,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:00:19.497","1008188"
"266",11,"FERROBAN - FERROVIAS BANDEIRANTES SA","RUA DOUTOR SALLES DE OLIVEIRA 1380","VILA INDUSTRIAL - CAMPINAS","Resíduo","Córrego Alegre",287454.1,7465034.48,"2013","Contaminada sob investigação","N",NA,"investigação confirmatória","infiltração","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|TPH|outros",NA,NA,NA,NA,"2013/11/26 15:55:50.588","1008188"
"267",22,"BORTOLETO BERTOLETTO & CIA LTDA","RUA ELDORADO 1338","CHACARA SÃO FRANCISCO - CAMPINAS","Posto de Combustível","SAD69",284227.34,7457105.82,"2013","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 15:19:04.158","1008188"
